market,openTimestamp,closeTimestamp,latency,price
"BTC","1700064182","1700064183","1","36531.832666661"
"SOL","1700063542","1700063545","3","62.475"
"BTC","1700062832","1700062834","2","36273.802799995"
"BTC","1700062927","1700062928","1","36300.420384615"
"SOL","1700063878","1700063881","3","62.3643525"
"ETH","1700062883","1700062887","4","2015.5"
"SOL","1700063147","1700063150","3","62.665"
"SOL","1700064205","1700064206","1","63.189240215"
"BTC","1700063333","1700063343","10","36323.60878603"
"ETH","1700063573","1700063576","3","2017.139220225"
"ETH","1700062965","1700062967","2","2016.47853613"
"SOL","1700063739","1700063742","3","62.32085812"
"SOL","1700063812","1700063813","1","62.40964296"
"ETH","1700062907","1700062908","1","2015.30755315"
"BTC","1700062753","1700062755","2","36267.265"
"ETH","1700062813","1700062814","1","2015.3125"
"BTC","1700063770","1700063774","4","36377.876257765"
"SOL","1700063990","1700063994","4","62.39418946"
"SOL","1700063980","1700063985","5","62.42632834"
"ETH","1700064222","1700064228","6","2023.07561802"
"BTC","1700063909","1700063913","4","36377.430461385"
"SOL","1700063920","1700063921","1","62.43762362"
"BTC","1700063110","1700063114","4","36278.44125"
"ETH","1700064065","1700064069","4","2021.240707335"
"SOL","1700063429","1700063435","6","62.64997787"
"SOL","1700063582","1700063586","4","62.32835724"
"BTC","1700063306","1700063308","2","36326.402069945"
"SOL","1700062842","1700062844","2","62.802194819"
"ETH","1700063757","1700063761","4","2019.837177611"
"ETH","1700063575","1700063579","4","2017.076687585"
"BTC","1700063739","1700063742","3","36360.872727272"
"ETH","1700063296","1700063302","6","2016.90375"
"ETH","1700063007","1700063009","2","2015.4015"
"ETH","1700063701","1700063705","4","2017.685"
"BTC","1700063952","1700063953","1","36398.34614385"
"BTC","1700063957","1700063962","5","36391.5979776"
"ETH","1700063807","1700063810","3","2020.29012215"
"SOL","1700062818","1700062820","2","62.90204161"
"ETH","1700063377","1700063378","1","2017.728625111"
"ETH","1700062744","1700062745","1","2014.714596585"
"BTC","1700063534","1700063537","3","36318.19410302"
"ETH","1700062789","1700062790","1","2015.06551"
"ETH","1700063794","1700063797","3","2019.880856215"
"BTC","1700063039","1700063041","2","36267.009917445"
"ETH","1700063851","1700063855","4","2020.26999999"
"BTC","1700064060","1700064066","6","36430.800277777"
"ETH","1700064220","1700064221","1","2023.38398794"
"ETH","1700063369","1700063373","4","2017.213901965"
"ETH","1700063012","1700063017","5","2015.084999995"
"BTC","1700063235","1700063238","3","36308.6"
"ETH","1700063331","1700063336","5","2016.88451348"
"BTC","1700062739","1700062742","3","36270.42876899"
"ETH","1700063969","1700063970","1","2021.107156965"
"SOL","1700064089","1700064092","3","62.53155221"
"SOL","1700064201","1700064202","1","63.18415497"
"SOL","1700062792","1700062795","3","62.936666666"
"ETH","1700064009","1700064010","1","2021.63337982"
"ETH","1700064203","1700064204","1","2025.120899018"
"SOL","1700064216","1700064219","3","63.05478236"
"BTC","1700063866","1700063872","6","36373.62196859"
"ETH","1700062951","1700062952","1","2016.245612426"
"ETH","1700064025","1700064027","2","2020.756947855"
"SOL","1700063448","1700063451","3","62.6258827"
"SOL","1700062975","1700062979","4","62.740147222"
"SOL","1700063965","1700063966","1","62.42704006"
"BTC","1700063022","1700063024","2","36268.3295025"
"BTC","1700062812","1700062813","1","36287.85512766"
